ENSEMBL ID,HGNC Symbol,Gene Biotype,Description,log2(FC) DUP vs DEL,"P value, DUP vs DEL","FDR-adjusted P value, DUP vs DEL",log2(FC) DUP vs CTL,"P value, DUP vs CTL","FDR-adjusted P value, DUP vs CTL",log2(FC) DEL vs CTL,"P value, DEL vs CTL","FDR-adjusted P value, DEL vs CTL"
ENSG00000149932,TMEM219,protein_coding,transmembrane protein 219 [Source:HGNC Symbol;Acc:25201],1.710765698,6.07E-19,7.23E-15,0.545907836,4.64E-08,0.000110554,-1.164857863,1.14E-13,1.36E-09
ENSG00000149923,PPP4C,protein_coding,"protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]",1.439779987,3.67E-18,2.19E-14,0.532422751,2.80E-08,8.33E-05,-0.907357236,1.79E-12,1.07E-08
ENSG00000169592,INO80E,protein_coding,INO80 complex subunit E [Source:HGNC Symbol;Acc:26905],1.606630549,7.35E-18,2.92E-14,0.58921015,1.51E-08,6.00E-05,-1.017420398,6.99E-12,2.78E-08
ENSG00000149930,TAOK2,protein_coding,TAO kinase 2 [Source:HGNC Symbol;Acc:16835],1.42180299,1.49E-15,4.44E-12,0.634561054,6.88E-08,0.000117154,-0.787241936,4.51E-09,1.08E-05
ENSG00000103502,CDIPT,protein_coding,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:1769],1.625552114,9.93E-15,2.37E-11,0.678889027,2.76E-07,0.000411262,-0.946663087,1.55E-08,2.63E-05
ENSG00000149925,ALDOA,protein_coding,"aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:414]",1.645462485,6.96E-14,1.38E-10,0.59532604,3.42E-05,0.019425155,-1.050136445,3.74E-09,1.08E-05
ENSG00000263136,PAGR1,protein_coding,PAXIP1-associated glutamate-rich protein 1  [Source:RefSeq peptide;Acc:NP_078792],1.44051994,2.69E-12,4.58E-09,0.373850964,0.001996099,0.3226487,-1.066668976,1.49E-08,2.63E-05
ENSG00000103495,MAZ,protein_coding,MYC-associated zinc finger protein (purine-binding transcription factor) [Source:HGNC Symbol;Acc:6914],1.585683553,5.73E-12,8.14E-09,0.723344519,1.65E-05,0.010940289,-0.862339034,2.08E-06,0.001237569
ENSG00000185928,PAGR1,protein_coding,PAXIP1 associated glutamate-rich protein 1 [Source:HGNC Symbol;Acc:28707],1.564123174,6.15E-12,8.14E-09,0.474215427,0.000596182,0.157829219,-1.089907748,9.76E-08,0.000129158
ENSG00000174938,SEZ6L2,protein_coding,seizure related 6 homolog (mouse)-like 2 [Source:HGNC Symbol;Acc:30844],1.715588934,1.37E-11,1.63E-08,0.760513769,2.69E-05,0.016857754,-0.955075165,3.77E-06,0.002040775
